Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,0,60,5.399
2,0,0,0,60,5.403
3,0,0,0,60,5.386
4,0,0,0,60,5.398
5,0,1,0,60,5.419
6,0,0,0,60,5.382
7,0,0,0,60,5.345
8,0,1,0,59,5.325
9,0,0,1,60,5.362
10,0,1,0,59,5.295
11,0,0,0,60,5.314
12,0,0,0,60,5.409
13,0,0,0,61,5.474
14,0,0,2,61,5.51
15,0,0,0,60,5.425
16,0,1,2,58,5.209
17,0,0,0,60,5.396
18,0,1,0,58,5.249
19,0,0,1,60,5.382
20,0,0,0,60,5.4
21,1,1,0,0,0
22,0,0,1,59,5.324
23,0,1,0,58,5.257
24,0,0,0,60,5.399
25,0,0,0,60,5.348
26,0,0,0,60,5.406
27,0,0,1,60,5.403
28,0,0,0,60,5.418
29,0,0,2,60,5.414
30,0,0,1,60,5.429
31,0,1,0,59,5.33
32,0,0,0,60,5.379
33,0,0,1,60,5.412
34,0,0,0,60,5.371
35,0,0,1,59,5.264
36,0,0,0,60,5.396
37,0,1,0,58,5.211
38,0,0,0,60,5.401
39,0,0,2,60,5.403
40,0,0,2,60,5.388
41,0,0,1,60,5.367
42,0,0,1,60,5.417
43,0,1,1,59,5.359
44,0,0,1,60,5.442
45,0,1,0,58,5.18
46,0,0,1,60,5.391
47,0,0,0,60,5.427
48,0,0,0,60,5.406
49,0,0,0,60,5.398
50,0,0,0,60,5.375
51,0,2,1,60,5.423
52,0,0,1,60,5.46
53,0,0,0,61,5.474
54,0,0,0,60,5.418
55,0,0,0,60,5.377
56,0,0,0,60,5.402
57,0,0,0,60,5.41
58,0,0,0,60,5.367
59,0,1,0,59,5.313
60,0,0,0,60,5.374
61,0,0,0,60,5.396
62,0,0,0,60,5.415
63,0,0,1,59,5.327
64,0,0,1,60,5.365
65,0,0,0,60,5.429
66,0,0,3,60,5.392
67,0,0,0,60,5.363
68,0,0,1,60,5.426
69,0,1,1,58,5.213
70,0,0,2,60,5.416
71,0,0,0,60,5.387
72,0,0,0,60,5.393
73,0,0,0,60,5.388
74,0,0,1,60,5.402
75,0,0,0,60,5.429
