Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,0,7.164
2,0,0,0,0,7.16
3,0,0,0,0,7.192
4,0,0,0,0,7.134
5,0,2,0,0,6.735
6,0,0,0,0,7.207
7,0,0,0,0,7.197
8,0,0,0,0,7.117
9,0,0,0,0,7.249
10,0,0,0,0,7.125
11,0,0,0,0,7.18
12,0,1,0,0,7.087
13,0,0,0,0,7.097
14,0,0,1,0,7.232
15,0,0,0,0,7.167
16,0,0,1,0,7.162
17,0,0,2,0,7.058
18,0,0,1,0,7.104
19,0,1,1,0,6.836
20,0,0,0,0,7.098
21,0,1,1,0,7.089
22,0,0,0,0,7.234
23,0,0,0,0,7.182
24,0,2,0,0,6.614
25,0,0,1,0,7.15
26,0,0,0,0,7.102
27,0,1,0,0,6.913
28,0,0,0,0,7.242
29,0,0,0,0,7.111
30,0,0,0,0,7.182
31,0,1,0,0,6.832
32,0,0,2,0,7.166
33,0,0,2,0,7.146
34,0,0,1,0,7.067
35,0,0,0,0,7.149
36,0,1,0,0,7.033
37,0,0,0,0,7.084
38,0,0,1,0,7.121
39,0,0,1,0,7.156
40,0,0,1,0,7.104
41,0,0,0,0,7.195
42,0,0,1,0,7.104
43,0,0,1,0,7.169
44,0,0,0,0,7.1
45,0,0,1,0,7.138
46,0,0,0,0,7.15
47,0,0,1,0,7.079
48,0,0,0,0,7.256
49,0,0,1,0,7.176
50,0,0,0,0,7.145
51,0,0,0,0,7.153
52,0,0,0,0,7.25
53,0,0,1,0,7.114
54,0,0,0,0,7.185
55,0,0,0,0,7.191
56,0,0,0,0,7.13
57,0,1,0,0,6.893
58,0,0,2,0,7.101
59,0,0,1,0,7.225
60,0,0,1,0,7.108
61,0,1,1,0,7.046
62,0,0,1,0,7.07
63,0,0,0,0,7.168
64,0,0,1,0,7.108
65,0,1,0,0,7.066
66,0,0,2,0,7.082
67,0,1,0,0,6.943
68,0,0,0,0,7.162
69,0,1,0,0,6.812
70,0,0,1,0,7.144
71,0,0,0,0,7.164
72,0,0,1,0,7.062
73,0,0,1,0,7.129
74,0,0,1,0,7.149
75,0,0,1,0,7.164
76,0,0,0,0,7.192
77,0,0,0,0,7.19
78,0,1,0,0,7.058
79,0,0,2,0,7.115
80,0,0,0,0,7.145
81,0,0,0,0,7.145
82,0,0,2,0,7.142
83,0,0,0,0,7.182
84,0,0,0,0,7.151
85,0,1,1,0,6.78
86,0,0,0,0,7.196
87,0,0,0,0,7.108
88,0,0,1,0,7.127
89,0,0,0,0,7.229
90,0,0,1,0,7.115
91,0,0,1,0,7.194
92,0,0,0,0,7.151
93,0,0,1,0,7.098
94,0,0,0,0,7.176
95,0,0,0,0,7.183
96,0,0,0,0,7.189
97,0,0,3,0,7.087
98,0,0,0,0,7.071
99,0,0,0,0,7.208
100,0,1,0,0,6.873
101,0,0,1,0,7.138
102,0,1,1,0,6.846
103,0,0,0,0,7.156
104,0,0,0,0,7.106
105,0,0,0,0,7.162
106,0,0,0,0,7.162
107,0,0,1,0,7.185
108,0,0,2,0,7.026
109,0,0,0,0,7.238
110,0,0,0,0,7.154
111,0,1,0,0,7.047
112,0,0,1,0,7.068
113,0,0,0,0,7.198
114,0,1,1,0,6.773
115,0,0,0,0,7.061
116,0,0,1,0,7.152
117,0,0,0,0,7.152
118,0,0,1,0,7.211
119,0,0,1,0,7.201
120,0,0,1,0,6.965
121,0,1,0,0,6.794
122,0,0,1,0,7.162
123,0,0,0,0,7.201
124,0,0,1,0,7.114
125,0,0,0,0,7.228
126,0,0,0,0,7.239
127,0,0,0,0,7.177
128,0,0,1,0,7.128
129,0,0,0,0,7.19
130,0,0,1,0,7.119
131,0,0,0,0,7.212
132,0,0,1,0,7.142
133,0,0,1,0,7.206
134,0,0,1,0,7.24
135,0,0,0,0,7.116
136,0,0,0,0,7.187
137,0,0,0,0,7.192
138,0,0,0,0,7.189
139,0,0,0,0,7.128
140,0,1,1,0,7.04
141,0,0,0,0,7.213
142,0,0,0,0,7.107
143,0,0,0,0,7.207
144,0,0,0,0,7.194
145,0,0,1,0,7.093
146,0,1,0,0,6.899
147,0,0,0,0,7.169
148,0,0,0,0,7.209
149,0,0,0,0,7.16
150,0,0,1,0,7.182
151,0,0,0,0,7.137
152,0,0,0,0,7.186
153,0,0,0,0,7.198
154,0,0,2,0,7.19
155,0,0,0,0,7.137
156,0,1,0,0,7.083
157,0,1,0,0,6.866
158,0,0,0,0,7.219
159,0,0,1,0,7.164
160,0,0,0,0,7.186
161,0,0,2,0,7.084
162,0,0,0,0,7.165
163,0,0,0,0,7.218
164,0,0,0,0,7.234
165,0,0,1,0,7.196
166,0,0,2,0,7.096
167,0,0,1,0,7.174
168,0,0,2,0,7.103
169,0,0,0,0,7.241
170,0,0,1,0,7.177
171,0,0,0,0,7.212
172,0,0,0,0,7.172
173,0,0,0,0,7.214
174,0,0,0,0,7.197
175,0,0,0,0,7.186
176,0,0,2,0,7.195
177,0,0,0,0,7.22
178,0,0,0,0,7.214
179,0,0,0,0,7.128
180,0,0,0,0,7.226
181,0,0,0,0,7.136
182,0,0,1,0,7.182
183,0,0,0,0,7.177
184,0,0,0,0,7.162
185,0,1,0,0,6.982
186,0,0,0,0,7.128
187,0,0,0,0,7.232
188,0,1,1,0,6.881
189,0,0,2,0,7.122
190,0,0,1,0,7.138
191,0,0,1,0,7.171
192,0,1,1,0,6.834
193,0,0,0,0,7.198
194,0,1,2,0,6.959
195,0,1,2,0,6.763
196,0,0,1,0,7.223
197,0,0,0,0,7.152
198,0,0,1,0,7.064
199,0,1,0,0,7.003
200,0,0,0,0,7.164
201,0,0,0,0,7.182
202,0,0,1,0,7.079
203,0,0,1,0,7.149
204,0,0,1,0,7.132
205,0,0,1,0,7.078
206,0,0,1,0,7.155
207,0,1,0,0,6.973
208,0,0,1,0,7.219
209,0,0,0,0,7.24
210,0,0,1,0,7.192
211,0,0,0,0,7.228
212,0,1,0,0,6.833
213,0,1,0,0,7.09
214,0,0,0,0,7.192
215,0,0,1,0,7.161
216,0,1,2,0,6.927
217,0,1,2,0,6.988
218,0,0,2,0,7.158
219,0,0,1,0,7.113
220,0,0,0,0,7.166
221,0,0,0,0,7.242
222,0,0,0,0,7.177
223,0,0,0,0,7.195
224,0,1,1,0,6.898
225,0,0,0,0,7.158
226,0,1,1,0,6.949
227,0,0,0,0,7.234
228,0,1,0,0,6.862
229,0,0,1,0,7.254
230,0,1,1,0,7.034
231,0,1,1,0,7.004
232,0,0,1,0,7.152
233,1,0,0,0,0.282
234,0,0,2,0,7.037
235,0,0,1,0,7.099
236,0,0,0,0,7.185
237,0,0,1,0,7.235
238,0,0,1,0,6.987
239,0,2,0,0,6.792
240,0,1,2,0,6.866
241,0,0,0,0,7.106
242,0,0,1,0,7.067
243,0,0,0,0,7.121
244,0,0,0,0,7.151
245,0,0,0,0,7.154
246,0,0,1,0,7.131
247,0,0,0,0,7.21
248,0,0,0,0,7.148
249,0,1,0,0,6.901
250,0,0,0,0,7.218
251,1,0,0,0,0.129
252,0,0,1,0,7.196
253,0,1,0,0,7.016
254,0,0,0,0,7.183
255,0,1,0,0,6.969
256,0,0,0,0,7.163
257,0,0,0,0,7.209
258,0,1,1,0,6.79
259,0,0,0,0,7.177
260,0,0,1,0,7.084
261,0,0,1,0,7.235
262,0,0,0,0,7.146
263,0,0,1,0,7.226
264,0,0,1,0,7.09
265,0,0,0,0,7.17
266,0,0,0,0,7.223
267,0,1,1,0,6.871
268,0,0,0,0,7.177
269,0,1,1,0,6.999
270,0,0,0,0,7.129
271,0,0,0,0,7.184
272,0,1,0,0,6.974
273,0,0,0,0,7.23
274,0,0,1,0,7.143
275,0,0,0,0,7.22
276,0,2,1,0,6.643
277,0,0,0,0,7.17
278,0,0,0,0,7.191
279,0,0,0,0,7.23
280,0,0,1,0,7.075
281,0,0,0,0,7.238
282,0,0,1,0,7.1
283,0,0,0,0,7.216
284,0,0,0,0,7.162
285,0,0,0,0,7.091
286,0,0,0,0,7.189
287,0,0,2,0,7.042
288,1,1,0,0,1.478
289,0,0,1,0,7.229
290,1,0,0,0,2.3
291,0,1,0,0,6.709
292,0,0,0,0,7.103
293,0,0,0,0,7.197
294,0,1,1,0,7.067
295,0,0,0,0,7.23
296,0,0,0,0,7.177
297,0,0,0,0,7.171
298,0,0,1,0,7.128
299,0,0,2,0,7.157
300,0,0,0,0,7.215
301,0,0,0,0,7.211
302,0,0,2,0,7.116
303,0,0,0,0,7.197
304,0,0,1,0,7.216
305,0,0,0,0,7.181
306,0,0,1,0,7.192
307,0,0,0,0,7.16
308,0,0,1,0,7.185
309,0,0,0,0,7.173
310,0,0,0,0,7.206
311,0,2,0,0,6.625
312,0,0,0,0,7.019
313,0,0,0,0,7.155
314,0,0,0,0,7.201
315,0,0,0,0,7.203
316,0,0,1,0,7.109
317,0,1,1,0,6.83
318,0,0,1,0,7.109
319,0,0,0,0,7.168
320,0,0,0,0,7.185
321,0,0,2,0,7.234
322,0,0,0,0,7.153
323,0,0,2,0,7.102
324,0,0,0,0,7.148
325,0,0,1,0,7.212
