Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,3,1,0,93.183
2,0,5,8,0,92.361
3,0,2,7,0,92.726
4,0,0,7,0,93.007
5,0,3,7,0,93.01
6,0,3,7,0,92.805
7,0,1,8,0,92.934
8,0,2,6,0,92.333
9,0,2,6,0,92.911
10,0,1,7,0,93.296
11,0,1,4,0,93.474
12,0,3,4,0,92.589
13,0,0,10,0,93.718
14,0,0,3,0,94.04
15,0,5,10,0,92.129
16,0,2,8,0,92.565
17,0,4,9,0,93.035
18,1,5,9,0,85.749
19,0,3,6,0,92.461
20,1,4,3,0,85.27
21,0,3,6,0,92.562
22,0,2,5,0,92.567
23,2,3,5,0,82.161
24,0,2,5,0,92.636
25,0,2,9,0,92.543
26,0,4,7,0,92.331
27,0,6,8,0,91.769
28,0,2,2,0,93.022
29,0,2,7,0,93.128
30,0,1,10,0,92.892
31,0,2,3,0,92.889
32,0,1,6,0,92.797
33,0,0,6,0,93.491
34,0,3,11,0,93.029
35,1,1,6,0,85.903
36,0,0,8,0,92.988
37,0,2,7,0,93.116
38,0,1,7,0,93.106
39,0,2,5,0,93.081
40,0,2,5,0,92.614
