Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,0,0,1.434
2,0,0,0,0,1.442
3,0,0,0,0,1.46
4,0,0,0,0,1.44
5,0,0,0,0,1.427
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,1.433
9,0,0,0,0,1.447
10,1,0,0,0,1.09
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0.174
16,0,0,0,0,1.379
17,0,0,0,0,1.464
18,0,0,0,0,1.449
19,0,0,0,0,1.412
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,1.45
23,0,0,0,0,1.434
24,0,0,0,0,1.447
25,0,0,0,0,1.406
26,0,0,0,0,1.442
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,1.443
30,0,0,0,0,1.447
