Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,24,8.678
2,0,0,0,29,8.289
3,0,0,0,24,8.536
4,0,1,1,23,8.538
5,0,0,0,22,8.722
6,0,0,0,23,8.666
7,0,1,0,28,8.197
8,0,0,0,27,8.388
9,0,0,1,19,8.911
10,0,1,1,23,8.501
11,0,0,0,28,8.431
12,0,0,0,28,8.215
13,0,0,2,27,8.359
14,0,0,0,21,8.765
15,0,0,0,19,9.175
16,0,0,0,18,9.106
17,0,1,0,29,8.114
18,0,0,2,27,8.517
19,0,0,1,26,8.494
20,0,0,0,23,8.848
21,0,0,0,31,8.041
22,0,0,0,30,8.109
23,0,1,0,22,8.769
24,0,1,1,33,7.851
25,0,0,0,20,8.978
26,0,0,1,24,8.697
27,0,0,1,26,8.445
28,0,0,0,26,8.556
29,0,0,1,22,8.786
30,0,0,0,32,8.009
31,0,0,0,30,8.126
32,0,1,0,23,8.358
33,0,0,1,31,8.13
34,0,0,1,21,8.795
35,0,0,0,29,8.161
36,0,0,0,33,7.702
37,0,0,0,23,8.716
38,0,0,0,24,8.49
39,0,0,0,21,9.038
40,0,0,0,24,8.646
41,0,0,1,28,8.212
42,0,0,0,25,8.481
43,0,0,0,24,8.722
44,0,0,1,26,8.437
45,0,0,1,24,8.53
46,0,0,0,28,8.204
47,0,1,0,30,8.25
48,0,1,0,25,8.279
49,0,0,2,26,8.212
50,0,0,0,25,8.703
51,0,0,0,25,8.522
52,0,0,2,23,8.706
53,0,0,0,26,8.481
54,0,0,0,22,8.756
55,0,0,0,25,8.531
56,0,0,1,19,9.14
57,0,1,0,23,8.859
58,0,0,0,26,8.333
59,0,0,0,22,8.902
60,0,0,0,26,8.486
61,0,0,1,26,8.313
62,0,0,0,23,8.876
63,0,0,1,25,8.387
64,0,0,0,26,8.443
65,0,1,1,26,8.508
66,0,0,0,25,8.431
67,0,0,0,25,8.507
68,0,0,0,24,8.575
69,0,0,1,24,8.565
70,0,0,0,18,9.195
71,0,0,1,30,8.115
72,0,1,1,28,8.145
73,0,0,2,22,8.726
74,0,0,2,25,8.425
75,0,1,0,18,9.12
76,0,0,1,33,8.089
77,0,1,0,15,9.285
78,0,1,1,17,8.925
79,0,0,0,26,8.474
80,0,1,0,22,8.881
81,0,0,1,25,8.569
82,0,0,1,22,8.836
83,0,1,0,20,8.369
84,0,0,0,21,8.795
85,0,0,1,24,8.555
86,0,0,2,15,9.304
87,0,0,0,22,8.757
88,0,0,0,26,8.461
89,0,0,1,27,8.286
90,0,1,0,26,7.902
91,0,0,0,25,8.566
92,0,0,0,20,8.89
93,0,0,0,25,8.825
94,0,0,1,22,8.652
95,0,0,0,27,8.607
96,0,0,0,26,8.44
97,0,0,1,22,8.643
98,0,1,0,24,8.544
99,0,0,0,20,8.853
100,0,1,0,29,7.665
101,0,0,0,31,7.962
102,0,1,0,23,8.713
103,0,0,0,19,8.922
104,0,0,0,28,8.474
105,0,1,1,23,8.767
106,0,1,0,21,8.711
107,0,0,0,27,8.373
108,0,0,1,24,8.557
109,0,0,0,23,8.677
110,0,0,0,21,8.741
111,0,0,1,21,8.926
112,0,0,1,22,8.673
113,0,1,0,19,8.621
114,0,1,1,21,8.7
115,0,1,0,22,8.944
116,0,0,0,23,8.745
117,0,0,0,24,8.547
118,0,0,0,17,9.227
119,0,1,1,25,8.469
120,0,0,1,25,8.248
121,0,0,0,23,8.831
122,0,0,0,25,8.452
123,0,0,1,17,9.034
124,0,0,0,22,8.752
125,0,0,0,25,8.478
126,0,0,0,27,8.302
127,0,0,1,19,9.097
128,0,0,1,23,8.601
129,0,0,1,23,8.775
130,0,0,0,25,8.641
131,0,0,0,33,7.837
132,0,0,0,25,8.656
